Name,Position,Goals,Losses,Assists,Red cards,Fouls,Appearances,Passes per match,Passes,Wins,Yellow cards
Sergio Reguilón,Defender,0.0,10.0,4.0,0.0,30.0,34.0,42.03,1429.0,17.0,5.0
Rhys Williams,Defender,0.0,1.0,0.0,0.0,4.0,9.0,56.0,504.0,7.0,0.0
Emerson Royal,Defender,0.0,3.0,0.0,0.0,5.0,4.0,33.0,132.0,1.0,0.0
Gary Cahill,Defender,28.0,135.0,11.0,3.0,278.0,394.0,34.17,13464.0,172.0,41.0
Mads Bech Sørensen,Defender,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0
Ajibola Alese,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuno Tavares,Defender,0.0,2.0,0.0,0.0,1.0,4.0,6.0,24.0,2.0,1.0
Maximilian Kilman,Defender,0.0,10.0,1.0,0.0,24.0,29.0,41.38,1200.0,12.0,5.0
Alex Cochrane,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Omobamidele,Defender,0.0,1.0,0.0,0.0,1.0,1.0,51.0,51.0,0.0,0.0
Jake Vokins,Defender,0.0,1.0,0.0,0.0,2.0,2.0,35.5,71.0,0.0,0.0
Harry Maguire,Defender,10.0,62.0,8.0,1.0,157.0,179.0,54.6,9774.0,74.0,37.0
Christoph Zimmermann,Defender,0.0,10.0,1.0,0.0,9.0,17.0,38.88,661.0,2.0,3.0
Charlie Cresswell,Defender,0.0,1.0,0.0,0.0,1.0,1.0,72.0,72.0,0.0,0.0
Ben Gibson,Defender,2.0,25.0,1.0,0.0,21.0,44.0,45.48,2001.0,5.0,5.0
Ibrahima Konaté,Defender,0.0,0.0,0.0,0.0,1.0,1.0,56.0,56.0,1.0,0.0
Frederik Alves,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Dunk,Defender,11.0,63.0,5.0,3.0,100.0,150.0,52.91,7936.0,39.0,26.0
Maksim Paskotsi,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
